Node,Load of node by messages routed
248416558679088380578124121764845756174387088378,2689
658972252563532767952558671099286350240094305537,6375
51436306858862968130486682236971336446147554941,5343
939770420668530812106174595528812897038444562438,4046
1177677103669304959587152904458316570731145655777,2016
1197485394141866911195398105194385386236515473581,3890
1106981263986641431894619637606974983688694826488,1106
265854421713346577958191353836377337497214657662,1406
1161306575475937561319980008805022107608107434658,2399
82494604200347787369601985106977513563811658091,4706
490659626020299504263484066196200207474903365893,4169
1439939927686720940787344391429446670801398288589,5533
527904763763958922226196565918737115499328396832,4499
1071981459519999021209798273674487315650482823380,2332
1457063346861767700656027310566178235477342657931,4644
496496525198516577997350076390389230794012994040,2577
1181633301481546284636181202687769831338351205227,5373
1428884347643782782082093290479006830187004257231,1231
986264792825770833652603289243668616663804797664,5478
928667922758076457178668033287488375389367595374,6019
628112825226366745020115395196966686923957402591,2586
870027668829220227598381620080109452978483122546,651
193865819322316638972946073726199313331253436349,5719
1402299842177137574751427149572499472331218694346,1780
100081114658548668765151458115776706136769776559,2360
1329662440705214752278308184592178976433488398338,1253
1218184630264314337846280632959446418056205763327,5471
116788036749179869273021216127660432249310534345,3358
49246540669762254969812473103623382228797026039,4461
91295284692830984292250059142127392706917071967,6286
1413744343615640346560787687725574681328025065438,6358
1240935827688910867895270883999509395721345574886,1400
965640199521352248263811587884644866219830146109,1018
1069353607997363596802012288717963874853052498704,1361
566930993135162039738809725069428652680747138289,3170
581924091906834853827294817553987934545751337830,2751
1144325350502781251903608527095113759124149702437,3974
1188403164922044270751689480900678092969332096176,3875
364951191376525001775527637465585869903406772102,5048
1127834235806843509265673568759742151684902840151,987
1459753236513014642421891558130191777966002319533,2405
852963602339843963775727354525266216147837869611,1488
1198653220166657271033405203275287494683545317987,3077
74638594827597525366518993300089047316925803257,3576
876671382986996813378357126251598797638808677067,5957
1106893773840724080618214459335643145124852230389,4941
906818131541148257748441260223137266869485348068,8644
581408916557658488552485537011414863070507878815,2466
178990166002654167408491410186730570522340303507,3042
427108246202456017675211802522463906242758166458,789
1028036800715518355098748503019285899603069378591,2821
452882915392027269553145908305915938513626869497,8828
493497693600748094070605330514799449643501825522,2980
616169863033566806160949586438563666303552925317,2435
787817106598603451736176315869841197085339566911,1048
280229787747696811741475686113760848379008316671,2151
367894628469179513785799211964084235635642694704,4926
481758019461578802871515344097419127633044033409,4621
900143179602368068807922931339806446531441121663,877
613334062878593318947798595675587005629247092979,5128
1122295246948951809508244942839320326652758105190,3858
84978624959435620696427430546088964086822231788,6001
478311713853224410021535260722365947801320373803,1586
638276155011959733447459769281944485782942494432,2634
240156039351766857482594031548630721658334052866,6415
819438670766144164406373317916927480350630024758,3635
1125508813133208262215639845839160410119773879901,5170
646804998009250189861853492703563798974456976957,3545
492761206065660261247577373004195125329082273493,5428
850788075240503384640254216065762488114861014145,4916
786309655361348971202762463395271811079945084455,926
1445957124597243395194508202069291943404518526580,3948
745322690483713633994646194425630907501590876738,10262
261015187778805121672209356236631173312237124580,6576
341437937974652798177003600486629198369193721331,5568
1161411918782985599991412504799451905060136293471,950
177749239770474481484311949953019526749400326702,3488
1179598169841105957269498319976250589427572948837,2814
925515326201139856481595569127898582619038566609,2634
565086114824040580812482539029252424628093628381,2380
265909668475268479175210608102587694683919461473,639
365208436971141756049720616740752059991648300372,2057
1011697352676189789567325412709388969538608834850,7276
98192369870928331640681581867876146224553476303,10605
1186633416696447442320531987031969016728816775514,4119
1251385776431996332013783969022526694685675636123,3236
159458852055822260506598744066322145614563396645,3065
1081179222735933703206970128695847873322707442165,1846
1421329010665766882163758796368771019943888896704,3241
164093804982858401113686731306048207378341223343,4666
1372983122375527466356071266415107040269786113083,5439
827656896247044435537401560567758169179896479272,2849
1285679234168225040408285539452184642246858364142,4395
1006782222633488293565823635822345564304098531989,1860
1238116327759201602380371504058701194684224399194,1794
924403364108695989905478583313555108371224078679,3853
406811814746904455538095165824703721550710058137,9289
392515812489406227488801276560007678370011573903,3789
1316135690137727071079030860000561932256008334585,1956
736733906739356831616894131952437041699609369818,820
504426411963977084033359305845678754090837964578,3967
1338849541345273061857546129097112570213601672354,4156
788906054873717773856773288802089390938320711683,3732
72149156543677679131521546050456819891001574105,3224
1087903477772544943269615413375395969904185324020,1335
276448886105532911891477384719525953621168082665,1716
373828754903244064005412336502477711992245812221,6101
955799718007971396955718288439579687999110030854,1250
537285802529501912584206063173622633786292115953,1112
1003185432760112533795408432621697106525388489909,1968
774439201053406405366930334767563487823034216719,3810
1335687927280325884943846508041701319900248950794,4756
