Node,Load of node by messages routed
966239780371241371048396344172379660833499429666,31861
674215428891823883122016008347641015152810595547,33263
703641120343470458536242394166408374153928564071,31905
1031420260498319521764956792373646796688599774856,32011
1392954164401628148992498361800893024736081969715,27598
451445811689792615906166404616663270443503351406,26800
1399410121526652659619813397368726276531142166464,27994
961947165453472804557561134047943894992004868677,31413
617032566290481610834242481306284799813376978106,32154
576516353491733913130041765765470663923208839137,31936
931186667039606966706619598945133594301718198293,31963
561275120882305878892870877209809801270351466514,30027
1095798306304842725385938177213262960767374032265,32383
883025167486444175889364455351183620999606462930,30972
249259359704631371586099428752891763367688461709,30048
24689105212167481264607847426379473631390829043,29341
55327572074462831135189762294207295264246625540,29581
999211529812543761514375858199310209673646466685,31733
482348090505491079293751008901318795269188450964,28731
1073200781743207633543735165337790556071878287103,30871
637111226391396128526062295469271537769496026326,32722
624882955962468911018557758671816074549361812318,32435
465226713214591310193474775633995231049650251151,28071
32755589085452684792922153255025198419681571740,29654
890138174657232129245363239099866553441874788025,31476
566345705454409860714252536215553387632868806511,31662
432700433109018427835344597398406849304341425089,26834
913072395081994407974427760624434040560591771929,31346
1421231883666362264775522873604415340604566848497,28837
1455850684137886854333380783890342457241152776174,29910
667634284721960248399355552281687861305559020973,32454
293335354902831742655395961174477020735395059750,29511
561884123121530148692431788854333115820460723204,30578
359362412153168146213706107139319831406577830223,28627
187804982919281763313643476762068659276900131487,29590
255728793306728878571777649098336672620847359049,30490
463290621192041703673908766612454831233241468760,27569
1117192994593866173466032774337846384398725631880,31590
1415237560924927595498905335046518718695810682814,28356
503973727720011768956331777574920138556754292385,28472
806620964130543384542587998797343383816494381709,30524
51916796399792415414246583212629596032744779055,29266
1446580913053683408514788081792663318655184338887,29148
300488018317113782268631374165462710778002296051,29908
1016057862485119863495472416459569572678479876601,32261
1269400182250325621866075387408482152962982444343,29243
703965102369168655386822449264653748852361025538,32445
1314264065279745486546817306403648470986523890404,28640
1445071426315692964097437132208588629788976691899,28683
249033988525418764557758937926472703316690118507,29468
876546374707359921267602373242561571916409649017,30476
551497461268224267194752863751152309083860977159,29101
147469529721649564816469601977839264892261765419,30989
764424303579315574943295142134909385158166785330,30349
1208031617579200986876038562019147665565348577277,29673
1235484723280057779281769052908108197885314014598,29047
1371683956405391275279402755202986573431987237288,27966
563365837364447588684816082585238246242265386742,31105
556966361013851433151600275916408428334688749822,29605
267346687458636980053453196516893229769312395720,30213
788765533863009718745854259890025684116893001143,29977
462872307426730219332833381579794358426835477869,26972
75927040731835605129264801393332620544023881199,29872
86418200740658398609723829701769178705508694655,30124
809403439693317401662391454071083364276055115553,30927
998302875698245373620577061172490683101022208636,31129
1410425390776591189919925147926162034565795226281,28057
530396289985138155243227071984813819184730894372,29069
1092168637458633966863301911471883300780571474807,32028
1257461981590182952150029899558975864689111332725,29149
200740468891240517037105436116072838459352451493,29320
479487525725599653074683544515184856415382014876,28225
1153063231777515859971338220698784354797144003874,30977
832275019222243626269997732622851823106878920354,31587
930089036604526294171823229162283861224555750312,31375
1451558180684785136304020134001242672111164088414,29598
225428578171610198360402600579919098773837903756,29595
595683600879291808277211848963663637490844008891,32304
1084556066287384066329462616211652505815061826869,31693
64282731412706027757231185386212659011788883803,30004
797109142562567222024143641263269673349683554454,30293
331547773911360709188895219701867361512673644665,29452
524342101351048282579322947654547646201366929300,34648
244901212862000915519052804791316203019309346554,31475
243437673713803572577281813448251445802407289265,30401
1314306805284401924871020361211415262136076624104,29264
626432553127643365930832869445100966336071885318,33534
393175680131189104462551123262519722139301160851,35311
783901325528652654353741865679821687631848774216,34055
1162553298729065364969924979440794345531050439011,28208
534228021960820433093002624209784627273579299329,34657
241807925482810970596263599085230427455625406680,29445
829559196509436165764541762415935279830207323224,34159
1434419813455466637628303870239863956016685977076,28798
475335313883977190778354144120272338020372733698,35240
314561373328445017941412873152197499743315064215,32992
560674350817553544105969558991895098903025323714,34905
451665841091929575996595278171925338298139369078,35972
115289697264408060985450098119068706958964501934,30121
743411884097727375365010386945729214016134303342,33703
643568091908166709514056842802570193891750037906,34580
1156891794121656229725863494076082449440543167207,27891
1011222427052977110829881599854689012763017094078,29143
250942260574562011958416659530968082976427693104,32170
1299270420658330884862892596304591224092529796607,28171
481499413930636811836493091481742974968641850118,35523
182060555545262880541185257632051966637458214331,29846
1267931554124217503396072227051974980232383636739,28338
657958381419437997297287034063019534519204636399,34685
162143922685816452631002423464651309410790243006,29008
1028674447869636165535212520574754512968108693207,29074
1042419024330756762545760711689484008842233491175,29197
86184329736882130146522508670452638051463764123,29189
159865617756529904352706617578399431817071084463,28701
1444945172634841093701315560516370883431717973271,29322
1042905363199453719282902534363028805148450141747,29787
249735605202963325526517686287910616315476857168,31748
661005682432003736279228515507778736081997993878,35257
45831875107669715613560710297749524019084336020,29227
1400307542374497817515504608999445373122636699516,29063
368003734653605915434821199466285385389083230850,34225
1374059123923515196453074160925433379843583181622,28643
1251658704325641830515157297859458866077842537962,27900
263642700045408240427889868986999976806297049361,33643
337484097958635667575995206678976248150052030954,33515
1248306778994467180505936170360877607342343611024,27372
241851973052943351492660077868793672464441403667,29973
30427440230908737426172589677374194563110274031,29763
689212423787912440874162080578553520741994301699,34804
960177638080245269089889775532407897949668553091,30824
1144984579808204993257819529605327794063972845373,27856
1208805557795411232186892848088495822611589773020,26964
215735470693512609837944789255308928028551412714,29868
1200981344966553458721074514107897131669631283172,26743
539330579853847790643628536248186710824125202067,34893
336615944104160391624474907383481155335827074169,32914
829450890824315120901985066349448649525421647776,33596
1065165572891154865856811023543644952302271406244,29781
112897775354283178916476406716156800633445277140,29601
437301786754983360629197316528280384357051534829,35930
185029664640092571691585143999153846963978701308,30290
244290592148276818831144325715704539193855746124,31056
844378316282070742222525880246987368190962557204,33828
766107820799733687068674344322333678119899124462,33957
1306649564177030522801313081770266023182808343587,29168
81793261106427574978518282053465176064877069881,28666
46127320941577628152676805496661959495650095232,29861
350268362632433808344030658282564179920659368198,34292
606099367865411597932642725345919928292511950322,33443
1257778607067231979709886664620248545413216950121,28172
1352182809540374213400941836617456027083914802426,28410
267915955470014627939741308825142234365120109625,34067
606246297389931721991631302577632636308753377683,34032
106708036529073117717552811828915389123498126344,29292
1395190895647564551717485542093142669788534753225,28746
